year,conference,paper,author,institute
2023,AAAI Artificial Intelligence,Misspecification in Inverse Reinforcement Learning,Joar Skalse,University of Oxford
2023,AAAI Artificial Intelligence,Misspecification in Inverse Reinforcement Learning,Alessandro Abate,University of Oxford
2023,ACL Natural Language Processing,"Do Androids Laugh at Electric Sheep? Humor ""Understanding"" Benchmarks from The New Yorker Caption Contest",Jack Hessel,Allen Institute for Artificial Intelligence
2023,ACL Natural Language Processing,"Do Androids Laugh at Electric Sheep? Humor ""Understanding"" Benchmarks from The New Yorker Caption Contest",Ana Marasovic,University of Utah
2023,ACL Natural Language Processing,"Do Androids Laugh at Electric Sheep? Humor ""Understanding"" Benchmarks from The New Yorker Caption Contest",Jena D. Hwang,Allen Institute for Artificial Intelligence
2023,ACL Natural Language Processing,"Do Androids Laugh at Electric Sheep? Humor ""Understanding"" Benchmarks from The New Yorker Caption Contest",Lillian Lee,Cornell University
2023,ACL Natural Language Processing,"Do Androids Laugh at Electric Sheep? Humor ""Understanding"" Benchmarks from The New Yorker Caption Contest",Jeff Da,University of Washington
2023,ACL Natural Language Processing,"Do Androids Laugh at Electric Sheep? Humor ""Understanding"" Benchmarks from The New Yorker Caption Contest",Rowan Zellers,OpenAI
2023,ACL Natural Language Processing,"Do Androids Laugh at Electric Sheep? Humor ""Understanding"" Benchmarks from The New Yorker Caption Contest",Robert Mankoff,Air Mail and Cartoon Collections
2023,ACL Natural Language Processing,"Do Androids Laugh at Electric Sheep? Humor ""Understanding"" Benchmarks from The New Yorker Caption Contest",Yejin Choi,University of Washington
2023,ACL Natural Language Processing,What the DAAM: Interpreting Stable Diffusion Using Cross Attention,Raphael Tang,Comcast
2023,ACL Natural Language Processing,What the DAAM: Interpreting Stable Diffusion Using Cross Attention,Linqing Liu,University College London
2023,ACL Natural Language Processing,What the DAAM: Interpreting Stable Diffusion Using Cross Attention,Akshat Pandey,Comcast
2023,ACL Natural Language Processing,What the DAAM: Interpreting Stable Diffusion Using Cross Attention,Zhiying Jiang,University of Waterloo
2023,ACL Natural Language Processing,What the DAAM: Interpreting Stable Diffusion Using Cross Attention,Gefei Yang,Comcast
2023,ACL Natural Language Processing,What the DAAM: Interpreting Stable Diffusion Using Cross Attention,Karun Kumar,Comcast
2023,ACL Natural Language Processing,What the DAAM: Interpreting Stable Diffusion Using Cross Attention,Pontus Stenetorp,University College London
2023,ACL Natural Language Processing,What the DAAM: Interpreting Stable Diffusion Using Cross Attention,Jimmy Lin,University of Waterloo
2023,ACL Natural Language Processing,What the DAAM: Interpreting Stable Diffusion Using Cross Attention,Ferhan Ture,Comcast
